CLIENTNUM,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Avg_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Attrition_Flag
717050883,60,F,1,High School,Single,Less than $40K,Blue,36,5,2,2,2688.0,1617,1071.0,0.552,4183,71,0.614,0.602,Continuing
708723858,48,F,4,Graduate,Single,Less than $40K,Blue,37,1,1,3,3413.0,1715,1698.0,0.812,3843,67,0.634,0.502,Continuing
778929783,40,M,3,Graduate,Divorced,$80K - $120K,Blue,22,2,2,3,1925.0,0,1925.0,0.672,781,28,0.75,0.0,Leaving
712524858,34,M,1,Graduate,Single,Less than $40K,Blue,28,1,6,3,2669.0,1649,1020.0,0.63,4314,74,0.609,0.618,Continuing
716620458,32,M,1,High School,Single,Less than $40K,Blue,23,3,2,3,4500.0,0,4500.0,0.626,2439,63,0.703,0.0,Continuing
796791258,50,M,1,Uneducated,Married,$120K +,Blue,44,5,2,4,3104.0,1791,1313.0,1.048,4006,76,0.81,0.577,Continuing
708385533,49,F,1,Graduate,Married,Less than $40K,Silver,36,2,3,3,11059.0,0,11059.0,0.99,9524,80,0.905,0.0,Leaving
813901458,60,M,1,High School,Single,$60K - $80K,Silver,55,5,5,3,34516.0,1642,32874.0,0.709,14954,95,0.696,0.048,Continuing
780567408,47,F,3,Graduate,Divorced,Less than $40K,Blue,38,5,1,2,3027.0,1671,1356.0,0.934,3912,77,0.925,0.552,Continuing
807426033,37,M,2,Graduate,Single,$60K - $80K,Blue,32,4,1,1,2865.0,1176,1689.0,0.665,3462,61,0.906,0.41,Continuing
713375658,37,M,2,Graduate,Divorced,$40K - $60K,Blue,17,6,3,3,3176.0,0,3176.0,0.652,2298,67,0.457,0.0,Continuing
737925558,64,M,0,Doctorate,Married,$40K - $60K,Blue,56,3,2,2,4234.0,1893,2341.0,0.585,1439,42,0.355,0.447,Continuing
721501308,41,M,3,High School,Single,Less than $40K,Blue,33,6,3,1,7015.0,918,6097.0,0.957,4410,70,0.591,0.131,Continuing
788132208,53,F,2,Graduate,Married,$40K - $60K,Blue,38,3,2,1,1989.0,1003,986.0,0.677,5070,70,0.75,0.504,Continuing
804668658,26,F,0,Uneducated,Single,Less than $40K,Blue,20,3,2,4,1438.3,0,1438.3,0.506,947,20,0.053,0.0,Leaving
760807608,48,F,4,Uneducated,Married,Less than $40K,Blue,41,5,3,4,2340.0,1680,660.0,0.791,4751,83,0.804,0.718,Continuing
714688833,47,F,2,High School,Unknown,Less than $40K,Blue,36,4,2,2,3139.0,0,3139.0,0.728,4892,95,0.827,0.0,Continuing
713564208,34,F,1,Graduate,Unknown,Less than $40K,Blue,23,4,1,1,2207.0,1527,680.0,0.861,4159,64,1.133,0.692,Continuing
712652283,36,M,1,Uneducated,Divorced,$80K - $120K,Blue,28,4,1,3,34516.0,774,33742.0,0.989,3030,74,0.805,0.022,Continuing
715522233,45,F,3,Doctorate,Single,Less than $40K,Blue,27,1,6,3,2917.0,1523,1394.0,0.724,4878,92,0.804,0.522,Continuing
713256033,39,F,3,Uneducated,Single,Less than $40K,Blue,25,5,3,3,4181.0,1604,2577.0,0.659,3955,74,0.574,0.384,Continuing
712215258,50,F,1,Graduate,Single,$40K - $60K,Silver,31,2,2,3,18386.0,0,18386.0,0.868,1298,22,0.571,0.0,Continuing
709514433,41,M,3,High School,Married,$80K - $120K,Blue,33,2,1,1,13818.0,609,13209.0,0.787,13209,101,0.656,0.044,Continuing
788756133,44,F,3,Graduate,Divorced,Less than $40K,Blue,24,4,1,2,2617.0,1508,1109.0,1.393,4400,60,0.818,0.576,Continuing
709276908,38,F,2,High School,Single,$40K - $60K,Blue,25,6,2,3,1438.3,0,1438.3,0.783,3990,75,0.596,0.0,Continuing
711578658,56,F,2,High School,Married,$40K - $60K,Blue,49,1,3,3,6380.0,2517,3863.0,0.706,13945,97,1.064,0.395,Continuing
714120258,37,M,2,Uneducated,Divorced,$80K - $120K,Blue,36,3,3,2,2281.0,1677,604.0,1.027,2735,58,1.071,0.735,Continuing
714574083,36,F,3,Graduate,Single,Less than $40K,Blue,31,3,2,3,2937.0,2159,778.0,0.67,2511,51,0.7,0.735,Continuing
772286658,63,M,1,Graduate,Single,$60K - $80K,Blue,52,6,4,3,14324.0,2507,11817.0,0.433,2083,56,0.647,0.175,Leaving
715824108,52,F,1,Graduate,Married,Less than $40K,Blue,38,3,1,3,3773.0,1291,2482.0,0.878,4697,75,0.667,0.342,Continuing
736552308,48,F,4,Graduate,Married,Less than $40K,Blue,41,3,1,3,3521.0,672,2849.0,0.655,3291,65,0.757,0.191,Continuing
713709258,43,M,3,Post-Graduate,Single,$40K - $60K,Blue,32,3,3,2,2142.0,1369,773.0,0.666,4424,88,0.66,0.639,Continuing
715449333,55,F,3,Graduate,Married,$40K - $60K,Blue,47,5,2,0,1929.0,1540,389.0,1.142,2354,50,0.786,0.798,Continuing
798238008,36,F,2,Uneducated,Married,Less than $40K,Blue,30,2,1,2,5070.0,0,5070.0,0.536,4644,85,0.771,0.0,Continuing
789059958,42,M,4,High School,Married,$120K +,Gold,30,6,2,4,34516.0,1045,33471.0,0.848,3574,75,0.923,0.03,Continuing
778231983,49,F,4,Graduate,Single,$40K - $60K,Blue,39,6,2,3,7382.0,1326,6056.0,0.806,4792,65,0.667,0.18,Continuing
714746358,38,M,3,Graduate,Married,$60K - $80K,Blue,28,3,1,2,4646.0,1680,2966.0,1.238,2234,35,0.667,0.362,Continuing
718350033,50,M,3,College,Single,$40K - $60K,Blue,36,3,2,2,3069.0,1881,1188.0,1.111,2909,58,1.522,0.613,Continuing
780032208,44,M,3,Graduate,Married,$60K - $80K,Blue,34,5,3,3,14201.0,0,14201.0,0.574,2223,47,0.679,0.0,Leaving
719121708,41,M,2,Graduate,Married,$60K - $80K,Silver,31,2,3,3,31497.0,2192,29305.0,0.868,7685,92,0.533,0.07,Continuing
771928608,34,M,1,Uneducated,Single,$60K - $80K,Blue,23,6,1,1,2033.0,1832,201.0,0.938,4110,74,0.947,0.901,Continuing
709123908,43,F,2,Graduate,Married,$40K - $60K,Blue,36,2,3,2,4287.0,0,4287.0,0.807,4874,82,0.708,0.0,Continuing
711109908,43,F,4,Uneducated,Married,Less than $40K,Blue,36,2,1,1,9684.0,2475,7209.0,0.697,1400,31,2.1,0.256,Continuing
714930333,39,M,3,College,Married,$80K - $120K,Blue,30,2,3,3,4618.0,0,4618.0,0.717,2476,49,0.75,0.0,Leaving
709935708,55,F,1,Graduate,Married,$40K - $60K,Blue,43,2,1,2,3391.0,1696,1695.0,0.537,4291,77,0.711,0.5,Continuing
713177808,57,F,3,College,Single,Less than $40K,Blue,51,5,1,0,2894.0,0,2894.0,0.886,5405,87,0.706,0.0,Continuing
714907908,51,F,0,High School,Married,$40K - $60K,Blue,40,6,2,2,5450.0,1674,3776.0,0.588,3722,77,0.711,0.307,Continuing
714729933,46,M,2,Graduate,Married,$80K - $120K,Blue,36,6,1,2,14164.0,1525,12639.0,0.543,3749,59,0.686,0.108,Continuing
709560258,49,F,3,Graduate,Single,Less than $40K,Blue,31,2,3,4,4946.0,0,4946.0,0.54,2239,38,0.407,0.0,Leaving
719531133,46,F,4,Graduate,Unknown,$40K - $60K,Blue,38,4,2,3,2505.0,0,2505.0,0.8,4384,80,0.86,0.0,Continuing
717262833,49,F,3,Graduate,Married,Less than $40K,Blue,36,5,2,4,2964.0,2043,921.0,0.692,4345,69,0.468,0.689,Continuing
713417433,42,M,2,Graduate,Single,$40K - $60K,Blue,28,3,1,3,1711.0,0,1711.0,0.983,4496,77,0.925,0.0,Continuing
711441333,43,F,1,High School,Divorced,Less than $40K,Silver,35,3,2,2,10514.0,1580,8934.0,0.504,1229,27,0.8,0.15,Continuing
714465558,41,M,4,Graduate,Married,$120K +,Silver,36,3,1,4,34516.0,2205,32311.0,0.897,15033,98,0.922,0.064,Continuing
710628783,38,M,4,High School,Single,$80K - $120K,Gold,36,6,1,3,34516.0,1140,33376.0,0.815,1445,45,0.957,0.033,Continuing
770766633,28,F,1,Post-Graduate,Single,Less than $40K,Blue,14,2,3,3,3848.0,0,3848.0,0.841,14054,105,0.694,0.0,Continuing
770721858,65,M,1,Graduate,Married,Less than $40K,Blue,56,3,2,5,3539.0,2517,1022.0,0.346,1463,31,0.632,0.711,Continuing
710657508,32,M,0,College,Unknown,Less than $40K,Blue,36,3,3,4,3788.0,1325,2463.0,0.607,3975,65,0.477,0.35,Continuing
721509558,51,M,2,Graduate,Married,$120K +,Blue,42,3,3,0,24221.0,1707,22514.0,0.816,1678,40,0.538,0.07,Continuing
712643358,59,F,0,High School,Married,Less than $40K,Blue,49,6,2,4,2833.0,1609,1224.0,0.78,1335,23,1.3,0.568,Continuing
717042333,53,F,2,College,Married,Less than $40K,Blue,44,3,3,3,1473.0,0,1473.0,0.92,2836,48,0.6,0.0,Leaving
709764483,61,M,1,Graduate,Unknown,$60K - $80K,Blue,53,1,1,2,6157.0,581,5576.0,0.583,4041,65,0.548,0.094,Leaving
708580908,56,M,3,High School,Married,$60K - $80K,Blue,37,3,3,3,14551.0,2517,12034.0,0.92,1373,35,0.591,0.173,Continuing
715179933,49,F,2,High School,Married,Less than $40K,Blue,36,6,2,3,15704.0,0,15704.0,0.924,4253,91,0.685,0.0,Continuing
709876008,49,F,2,Post-Graduate,Single,Less than $40K,Blue,36,3,1,3,3414.0,1473,1941.0,0.597,1803,49,1.13,0.431,Continuing
780790008,46,F,3,Graduate,Married,$40K - $60K,Blue,39,6,3,2,1457.0,563,894.0,0.711,3967,69,0.568,0.386,Continuing
712886733,44,F,1,Graduate,Unknown,Less than $40K,Blue,32,3,3,3,1780.0,1338,442.0,0.966,4268,87,0.673,0.752,Continuing
715012833,46,F,1,High School,Married,Less than $40K,Blue,36,1,3,3,3073.0,2517,556.0,0.841,4858,77,0.974,0.819,Continuing
715391433,38,M,0,Graduate,Married,$60K - $80K,Blue,33,5,4,4,11741.0,1560,10181.0,0.773,2143,41,0.783,0.133,Continuing
708879483,48,F,1,College,Divorced,Less than $40K,Blue,36,6,3,0,4006.0,1646,2360.0,0.746,5006,89,0.534,0.411,Continuing
780336258,55,F,1,Graduate,Single,Less than $40K,Blue,42,6,3,2,2517.0,1257,1260.0,0.834,4528,75,0.786,0.499,Continuing
793355508,32,M,0,Graduate,Single,Less than $40K,Blue,26,6,3,3,6942.0,0,6942.0,0.544,2657,71,0.69,0.0,Continuing
713746608,48,F,2,High School,Married,Less than $40K,Blue,37,3,2,2,8446.0,908,7538.0,0.604,4240,67,0.763,0.108,Continuing
709722858,50,M,1,Graduate,Married,$60K - $80K,Blue,37,2,2,2,20708.0,1357,19351.0,0.852,8503,88,0.571,0.066,Continuing
709668408,56,F,1,Graduate,Unknown,$40K - $60K,Blue,36,5,4,1,5204.0,0,5204.0,1.008,5285,82,0.864,0.0,Continuing
714982383,55,M,2,High School,Married,$60K - $80K,Blue,36,4,3,3,7231.0,2381,4850.0,0.996,1421,23,1.3,0.329,Continuing
712877733,48,M,5,Graduate,Married,$80K - $120K,Blue,42,6,3,3,12882.0,1402,11480.0,0.783,4407,84,0.647,0.109,Continuing
720614658,40,M,2,High School,Divorced,$60K - $80K,Blue,25,6,4,2,2978.0,0,2978.0,0.49,3879,95,0.583,0.0,Continuing
714973758,50,F,3,Graduate,Single,Less than $40K,Blue,36,4,3,2,1438.3,1002,436.3,1.306,2004,25,0.667,0.697,Continuing
797743233,45,M,3,Uneducated,Unknown,$60K - $80K,Blue,39,3,2,3,5996.0,865,5131.0,0.511,4542,77,0.481,0.144,Continuing
711531858,48,F,4,Graduate,Married,Less than $40K,Blue,41,3,3,3,2447.0,1267,1180.0,0.449,2132,37,0.37,0.518,Leaving
772366833,50,M,2,Graduate,Single,$40K - $60K,Blue,40,3,2,3,4003.0,1851,2152.0,0.703,15476,117,0.857,0.462,Continuing
711534183,41,M,2,High School,Single,$80K - $120K,Blue,36,4,2,4,28830.0,0,28830.0,0.786,3533,57,0.966,0.0,Continuing
709365483,45,F,2,Doctorate,Divorced,$40K - $60K,Blue,36,5,3,3,2788.0,1826,962.0,0.521,4437,67,0.595,0.655,Continuing
721316358,41,M,3,High School,Married,$60K - $80K,Blue,28,5,1,1,9577.0,632,8945.0,0.379,4086,62,0.771,0.066,Continuing
740065833,47,F,3,Graduate,Single,Less than $40K,Silver,40,1,2,2,11128.0,2517,8611.0,0.8,8526,93,0.661,0.226,Continuing
709415583,37,F,2,Graduate,Single,Less than $40K,Blue,21,1,1,1,3967.0,1476,2491.0,0.626,4490,66,0.833,0.372,Continuing
717208833,34,F,3,High School,Single,Less than $40K,Blue,21,2,2,2,1576.0,0,1576.0,0.789,2703,56,1.0,0.0,Leaving
